O6Ia	O	6	Ia	120.1	1.36E+06	3.19E+01	35400	-0.32	-7	-3.58	-10.58	0.615686275	0.698039216	1	5.2005E-03	6.91E-02	1.88E-01	1.1E+03	1.6E+03	4.8E+02
O6Ib	O	6	Ib	103.5	7.81E+05	2.42E+01	35400	-0.32	-6.4	-3.58	-9.98	0.615686275	0.698039216	1	1.0265E-02	7.47E-02	2.03E-01	8.3E+02	1.2E+03	3.7E+02
O6II	O	6	II	86.9	6.54E+05	2.05E+01	36800	-0.32	-6.1	-3.69	-9.79	0.607843137	0.701960784	1	1.4179E-02	6.98E-02	1.90E-01	7.6E+02	1.1E+03	3.4E+02
O6III	O	6	III	70.2	3.76E+05	1.56E+01	36800	-0.32	-5.5	-3.69	-9.19	0.611764706	0.68627451	1	2.5992E-02	6.91E-02	1.87E-01	5.8E+02	8.3E+02	2.5E+02
O6IV	O	6	IV	53.6	3.13E+05	1.42E+01	36800	-0.32	-5.3	-3.69	-8.99	0.592156863	0.682352941	1	2.6313E-02	5.29E-02	1.44E-01	5.3E+02	7.6E+02	2.3E+02
O6V	O	6	V	37	2.60E+05	1.29E+01	36800	-0.32	-5.1	-3.69	-8.79	0.635294118	0.721568627	1	2.4227E-02	3.56E-02	9.65E-02	4.8E+02	6.9E+02	2.1E+02
O6VI	O	6	VI	14.2	1.80E+05	1.08E+01	36800	-0.32	-4.7	-3.69	-8.39	0.635294118	0.721568627	1	1.5845E-02	1.18E-02	3.22E-02	4.0E+02	5.8E+02	1.8E+02

O7Ia0	O	7	Ia0	115.1	5.88E+06	7.74E+01	32800	-0.31	-8.8	-3.37	-12.17	0.62745098	0.709803922	1	3.4892E-04	2.69E-02	7.30E-02	2.3E+03	3.3E+03	1.0E+03
O7Ia	O	7	Ia	100.9	1.12E+06	3.38E+01	32800	-0.31	-7	-3.37	-10.37	0.62745098	0.709803922	1	3.6730E-03	5.17E-02	1.40E-01	9.9E+02	1.4E+03	4.4E+02
O7Ib	O	7	Ib	86.7	5.88E+05	2.45E+01	32800	-0.31	-6.3	-3.37	-9.67	0.62745098	0.709803922	1	8.2870E-03	5.83E-02	1.58E-01	7.2E+02	1.0E+03	3.2E+02
O7II	O	7	II	72.5	5.10E+05	2.05E+01	34600	-0.32	-6	-3.52	-9.52	0.611764706	0.709803922	1	1.1829E-02	5.49E-02	1.49E-01	6.7E+02	9.7E+02	3.0E+02
O7III	O	7	III	58.4	2.94E+05	1.55E+01	34600	-0.32	-5.4	-3.52	-8.92	0.619607843	0.694117647	1	2.2044E-02	5.44E-02	1.48E-01	5.1E+02	7.3E+02	2.2E+02
O7IV	O	7	IV	44.2	2.23E+05	1.35E+01	34600	-0.32	-5.1	-3.52	-8.62	0.596078431	0.68627451	1	2.5252E-02	4.31E-02	1.17E-01	4.4E+02	6.4E+02	2.0E+02
O7V	O	7	V	30	1.54E+05	1.13E+01	34600	-0.32	-4.7	-3.52	-8.22	0.615686275	0.694117647	1	2.9225E-02	3.07E-02	8.33E-02	3.7E+02	5.3E+02	1.6E+02
O7VI	O	7	VI	10.9	1.07E+05	9.36E+00	34600	-0.32	-4.3	-3.52	-7.82	0.615686275	0.694117647	1	1.8684E-02	9.60E-03	2.61E-02	3.1E+02	4.4E+02	1.4E+02

O8Ia0	O	8	Ia0	93.4	4.37E+06	7.87E+01	30200	-0.3	-8.7	-3.15	-11.85	0.635294118	0.717647059	1	2.6934E-04	2.00E-02	5.44E-02	2.0E+03	2.8E+03	8.7E+02
O8Ia	O	8	Ia	81.7	9.13E+05	3.60E+01	30200	-0.3	-7	-3.15	-10.15	0.635294118	0.717647059	1	2.4614E-03	3.66E-02	9.94E-02	9.0E+02	1.3E+03	4.0E+02
O8Ib	O	8	Ib	69.9	4.37E+05	2.49E+01	30200	-0.3	-6.2	-3.15	-9.35	0.635294118	0.717647059	1	6.3644E-03	4.30E-02	1.17E-01	6.2E+02	9.0E+02	2.7E+02
O8II	O	8	II	58.2	3.60E+05	1.96E+01	32400	-0.31	-5.8	-3.34	-9.14	0.619607843	0.717647059	1	1.0865E-02	4.28E-02	1.16E-01	5.6E+02	8.1E+02	2.5E+02
